CT;Date;Time_of_Day;Site;forest_d;forest_g;forest_a;sec_veg;savanna;crops;pasture;d_river;d_streams;d_roads;d_crops;Datetime;Hour;HourRadians
CT06;2020-09-02;23:42:00;Cumaribo;0;27.708208;0;0;72.180312;0;0;410.325188;51.901913;602.484519;7194.138609;2020-09-02 23:42:00;23.7;6.204645491
CT07;2020-09-02;0:00:00;Cumaribo;0;44.69492;0;0;55.1936;0;0;7736.496929;105.026355;620.489037;577.033688;2020-09-02 00:00:00;0;0
CT08;2020-09-02;21:41:00;Cumaribo;0;2.025818;0;0;97.862702;0;0;2934.514156;82.576277;700.1757;9181.970763;2020-09-02 21:41:00;21.68333333;5.676683392
CT09;2020-09-02;21:50:00;Cumaribo;0;22.556854;0;0;77.331654;0;0;7095.891733;40.232318;497.458164;3868.192895;2020-09-02 21:50:00;21.83333333;5.7159533
CT10;2020-09-02;0:29:00;Cumaribo;0;16.933742;0;0;82.954788;0;0;54.680388;465.005576;1807.342418;3291.492624;2020-09-02 00:29:00;0.483333333;0.126536371
CT11;2023-09-02;22:17:00;Cumaribo;0;22.363613;0;0;77.524907;0;0;3245.703356;265.399932;189.380856;4591.930063;2023-09-02 22:17:00;22.28333333;5.833763025
CT12;2023-09-02;17:57:00;Cumaribo;0;67.169814;0;0;28.307188;4.411507;0;7515.441458;83.020833;948.460226;6117.535116;2023-09-02 17:57:00;17.95;4.699299011
CT13;2023-09-02;23:40:00;Cumaribo;0;30.246222;0;0;21.853;47.789287;0;5585.068167;70.684404;164.707998;3627.243543;2023-09-02 23:40:00;23.66666667;6.195918845
CT14;2023-09-02;19:53:00;Cumaribo;0;26.812682;0;0;7.01288;26.141526;39.921432;9860.029802;26.006526;179.711763;6866.278559;2023-09-02 19:53:00;19.88333333;5.205444494
CT15;2023-09-02;3:33:00;Cumaribo;0;45.502083;0;0;54.386436;0;0;16300.53485;267.178156;757.745702;8096.587289;2023-09-02 03:33:00;3.55;0.929387827
CT16;2023-09-02;4:09:00;Cumaribo;0;21.396394;0;0;78.345574;0;0;17008.268;128.032128;1281.766087;13818.80098;2023-09-02 04:09:00;4.15;1.086467459
CT17;2023-09-02;5:11:00;Cumaribo;0;31.397889;0;0;68.490631;0;0;12318.64676;273.40194;129.032379;11693.8233;2023-09-02 05:11:00;5.183333333;1.356993493
CT18;2023-09-02;3:28:00;Cumaribo;0;15.157208;0;0;0;66.274777;1.039869;5532.943976;35.675619;623.48979;9987.395096;2023-09-02 03:28:00;3.466666667;0.907571211
CT19;2023-09-02;19:49:00;Cumaribo;0;0;0;34.497506;65.391014;0;0;8948.578863;12.336429;925.009897;13131.40627;2023-09-02 19:49:00;19.81666667;5.187991202
CT20;2023-09-02;11:56:00;Cumaribo;0;16.76837;0;0;61.485979;21.634181;0;11166.35761;100.247378;512.35079;10063.30303;2023-09-02 11:56:00;11.93333333;3.124139361
CT21;2016-02-19;03:19:13;Cumaribo;0;18.038919;0;0;79.197888;0;2.651713;6068.522817;117.473923;450.335228;6249.234831;2016-02-19 03:19:13;3.320277778;0.86924669
CT22;2016-02-21;21:01:21;Cumaribo;0;35.550238;0;0;12.624072;51.714198;0;6413.83169;33.897395;804.535221;5913.261634;2016-02-21 21:01:21;21.0225;5.50367763
CT23;2016-02-25;02:36:27;Cumaribo;0;19.54135;0;0;80.347169;0;0;4132.036881;18.782491;1794.450294;4564.812147;2016-02-25 02:36:27;2.6075;0.682641904
CT24;2016-02-08;02:24:10;Cumaribo;0;32.807733;0;0;67.080798;0;0;4212.723795;1.000251;1355.784661;6510.300342;2016-02-08 02:24:10;2.402777778;0.629045751
CT25;2016-02-08;02:25:09;Cumaribo;0;20.450723;0;0;79.437796;0;0;5810.235781;55.236083;734.184234;4519.689713;2016-02-08 02:25:09;2.419166667;0.633336352
CT26;2016-02-08;02:26:45;Cumaribo;0;15.38427;0;0;84.50425;0;0;6777.923054;20.116159;614.820948;4952.464979;2016-02-08 02:26:45;2.445833333;0.640317669
CT27;2016-02-25;03:50:24;Cumaribo;0;28.653885;0;0;71.234645;0;0;4327.75266;52.791025;1960.047404;3999.448054;2016-02-25 03:50:24;3.84;1.005309649
CT28;2016-02-21;03:17:41;Cumaribo;0;22.012102;0;0;77.876407;0;0;3094.776594;54.902666;1561.725228;974.022196;2016-02-21 03:17:41;3.294722222;0.862556261
CT29;2016-02-21;03:23:50;Cumaribo;0;22.012102;0;0;77.876407;0;0;3094.776594;54.902666;1561.725228;974.022196;2016-02-21 03:23:50;3.397222222;0.889390698
CT30;2016-02-21;04:01:44;Cumaribo;78.723092;0;0;0;6.653648;14.51178;0;3486.097013;74.574269;1213.193324;2712.236156;2016-02-21 04:01:44;4.028888889;1.054760645
CT31;2016-02-29;03:44:21;Cumaribo;70.451556;0;0;0;17.54728;11.889684;0;4813.541229;205.051455;981.579648;3303.940192;2016-02-29 03:44:21;3.739166667;0.978911544
CT32;2016-03-01;21:42:08;Cumaribo;61.583482;0;0;0;0.248937;38.056111;0;4008.78373;29.451835;960.463238;3574.007962;2016-03-01 21:42:08;21.70222222;5.681628492
CT33;2016-03-01;21:43:06;Cumaribo;0;41.3666;0;0;58.521919;0;0;0;352.421769;1524.82708;5376.015708;2016-03-01 21:43:06;21.71833333;5.685846371
CT34;2016-03-01;21:48:48;Cumaribo;0;36.504483;0;0;63.384036;0;0;39.787762;700.1757;1020.144881;5901.369761;2016-03-01 21:48:48;21.81333333;5.710717313
CT35;2016-03-02;20:30:23;Cumaribo;0;35.550238;0;0;12.624072;51.714198;0;6413.83169;33.897395;804.535221;5913.261634;2016-03-02 20:30:23;20.50638889;5.368560057
CT36;2016-03-06;02:04:34;Cumaribo;0;19.54135;0;0;80.347169;0;0;4132.036881;18.782491;1794.450294;4564.812147;2016-03-06 02:04:34;2.076111111;0.543524618
CT37;2016-03-21;06:13:54;Cumaribo;0;32.807733;0;0;67.080798;0;0;4212.723795;1.000251;1355.784661;6510.300342;2016-03-21 06:13:54;6.231666667;1.631446518
CT38;2016-03-08;18:24:08;Cumaribo;0;20.450723;0;0;79.437796;0;0;5810.235781;55.236083;734.184234;4519.689713;2016-03-08 18:24:08;18.40222222;4.817690512
CT39;2016-02-21;03:24:25;Cumaribo;0;2.025818;0;0;97.862702;0;0;2934.514156;82.576277;700.1757;9181.970763;2016-02-21 03:24:25;3.406944444;0.89193597
CT40;2016-02-21;04:15:50;Cumaribo;0;22.556854;0;0;77.331654;0;0;7095.891733;40.232318;497.458164;3868.192895;2016-02-21 04:15:50;4.263888889;1.116283501
CT01;2023-05-10;22:13:00;Puerto Gaitán;29.489107;0;0;0;52.031931;19.155409;0;0;23.005773;509.01662;159.929021;2023-05-10 22:13:00;22.21666667;5.816309732
CT02;2023-10-10;3:51:00;Puerto Gaitán;43.47315;0;0;0;57.203675;0;0;0;1235.532263;83.131972;628.046489;2023-10-10 03:51:00;3.85;1.007927643
CT03;2023-11-10;16:33:00;Puerto Gaitán;44.525351;0;0;0;52.77811;3.069422;0;0;1158.290658;313.41198;696.396974;2023-11-10 16:33:00;16.55;4.332779868
CT04;2023-12-10;5:26:00;Puerto Gaitán;66.621048;0;0;0;23.985296;0;0;0;190.269968;404.879377;1261.205372;2023-12-10 05:26:00;5.433333333;1.42244334
CT05;2023-12-10;8:20:00;Puerto Gaitán;32.143931;0;0;0;43.820471;0;0;0;898.00312;610.931083;1595.178067;2023-12-10 08:20:00;8.333333333;2.181661565
CT06;2023-12-13;19:37:00;Puerto Gaitán;46.845264;7.595339;0;0;34.305837;0;0;0;156.928268;263.39943;4817.764511;2023-12-13 19:37:00;19.61666667;5.135631324
CT07;2023-28-11;3:40:00;Puerto Gaitán;44.44684;6.694074;0;0;39.986232;0;0;0;94.023594;202.939814;5912.5948;;;
CT08;2023-29-11;4:57:00;Puerto Gaitán;78.193375;0;0;0;12.170788;0;0;0;453.335981;512.35079;5011.035232;;;
CT09;2023-06-12;3:43:00;Puerto Gaitán;91.920657;0;0;0;0.003036;0;0;0;105.359772;1669.196641;5765.335625;2023-06-12 03:43:00;3.716666667;0.973021058
CT10;2023-26-10;13:05:00;Puerto Gaitán;84.433665;0;0;0;6.415597;0;0;0;1138.952472;1244.7568;5043.598959;;;
CT11;2023-26-10;1:49:00;Puerto Gaitán;70.493671;0;0;0;12.651866;0;0;0;409.769493;66.016566;5587.068669;;;
CT12;2023-01-11;4:07:00;Puerto Gaitán;46.780724;0;0;0;47.369008;0;0.005653;0;1194.077416;115.362282;7015.538236;2023-01-11 04:07:00;4.116666667;1.077740813
CT13;2023-16-11;22:46:00;Puerto Gaitán;40.818755;0;0;0;14.111962;0;38.637545;0;145.59209;97.357764;8527.139775;;;
CT14;2023-06-10;21:49:00;Puerto Gaitán;76.10672;0;0;0;7.770684;0;0;0;818.649874;1509.156481;9928.269148;2023-06-10 21:49:00;21.81666667;5.711589977
CT15;2023-08-10;13:58:00;Puerto Gaitán;74.134902;0;0;0;22.911116;0;0;0;572.143572;1185.85313;10384.27247;2023-08-10 13:58:00;13.96666667;3.656464783
CT16;2023-03-10;19:31:00;Puerto Gaitán;26.610544;0;0;0;72.816195;0;0;0;690.17319;1397.906342;10948.08061;2023-03-10 19:31:00;19.51666667;5.109451385
CT17;2023-04-10;5:45:00;Puerto Gaitán;64.542464;0;0;0;36.119478;0;0;0;75.57452;2744.133049;12143.38056;2023-04-10 05:45:00;5.75;1.50534648
CT18;2023-08-10;3:13:00;Puerto Gaitán;74.34718;0;0;0;0.644957;0;0;0;288.850261;2298.687937;11743.3913;2023-08-10 03:13:00;3.216666667;0.842121364
CT19;2023-08-10;17:12:00;Puerto Gaitán;0;10.179346;0;0;90.484381;0;0;0;7.446313;594.371372;3914.871275;2023-08-10 17:12:00;17.2;4.50294947
CT20;2023-12-10;9:47:00;Puerto Gaitán;0;13.518077;0;0;87.145659;0;0;0;20.227298;399.989261;3293.826543;2023-12-10 09:47:00;9.783333333;2.561270677
CT21;2023-14-10;0:20:00;Puerto Gaitán;0;17.416051;0;0;83.247676;0;0;0;31.452337;334.194973;3080.550802;;;
CT22;2023-18-10;20:06:00;Puerto Gaitán;0;35.75315;0;0;23.157259;12.116279;29.637038;0;91.467397;674.502591;167.708751;;;
CT23;2023-19-10;20:03:00;Puerto Gaitán;0;5.757327;0;0;34.16157;71.747126;0;0;23.33919;276.402693;0;;;
CT24;2023-26-10;0:33:00;Puerto Gaitán;0;13.649333;0;0;74.713616;12.30536;0;0;125.364792;373.649318;0;;;
CT25;2023-30-10;22:12:00;Puerto Gaitán;0;18.272908;0;0;75.1875;7.207337;0;0;37.898399;1150.622067;196.160335;;;
